RevenueType,month,n_rows,total_qty,not_late_row_weighted,not_late_unit_weighted
Omni Channel,2019-01,2.0,9.0,1.0,1.0
Omni Channel,2020-12,2.0,4.0,1.0,1.0
Omni Channel,2021-05,2.0,4.0,1.0,1.0
Omni Channel,2021-08,2.0,4.0,1.0,1.0
Omni Channel,2021-09,1.0,2.0,1.0,1.0
Omni Channel,2021-10,2.0,4.0,1.0,1.0
Omni Channel,2021-12,3.0,7.0,1.0,1.0
Omni Channel,2022-02,1.0,3.0,1.0,1.0
Omni Channel,2022-05,2.0,20.0,1.0,1.0
Omni Channel,2022-06,6.0,12.0,1.0,1.0
Omni Channel,2022-08,2.0,4.0,1.0,1.0
Omni Channel,2022-09,2.0,170.0,0.0,0.0
Omni Channel,2022-10,8.0,115.0,0.375,0.9043478260869565
Omni Channel,2022-11,13.0,227.0,1.0,1.0
Omni Channel,2022-12,9.0,639.0,0.7777777777777778,0.5461658841940532
Omni Channel,2023-01,208.0,1628.0,0.9326923076923077,0.8624078624078624
Omni Channel,2023-02,389.0,4428.0,0.9537275064267352,0.8985998193315267
Omni Channel,2023-03,291.0,3616.0,0.8350515463917526,0.6952433628318584
Omni Channel,2023-04,155.0,1960.0,0.8516129032258064,0.9729591836734693
Omni Channel,2023-05,183.0,2111.0,0.8688524590163934,0.9744197063003316
Omni Channel,2023-06,173.0,1269.0,0.838150289017341,0.8983451536643026
Omni Channel,2023-07,218.0,2635.0,0.9174311926605505,0.9870967741935484
Omni Channel,2023-08,206.0,2216.0,0.8883495145631068,0.9765342960288809
Omni Channel,2023-09,207.0,1205.0,0.8357487922705314,0.9435684647302904
Omni Channel,2023-10,275.0,2737.0,0.9236363636363636,0.9773474607234198
Omni Channel,2023-11,269.0,2278.0,0.8475836431226765,0.9381035996488147
Omni Channel,2023-12,259.0,5691.0,0.7992277992277992,0.9773326304691619
Omni Channel,2024-01,92.0,548.0,1.0,1.0
Omni Channel,2024-02,194.0,4880.0,0.8762886597938144,0.6186475409836065
Omni Channel,2024-03,185.0,3397.0,0.9297297297297298,0.6535178098322049
Omni Channel,2024-04,150.0,618.0,0.9333333333333333,0.883495145631068
Omni Channel,2024-05,150.0,1015.0,0.8933333333333333,0.9665024630541872
Omni Channel,2024-06,152.0,1116.0,0.8552631578947368,0.9498207885304659
Omni Channel,2024-07,118.0,759.0,0.7796610169491526,0.9288537549407114
Omni Channel,2024-08,145.0,1947.0,0.8827586206896552,0.9815100154083205
Omni Channel,2024-09,184.0,3306.0,0.8858695652173914,0.9603750756200847
Omni Channel,2024-10,255.0,3097.0,0.8470588235294118,0.9696480464966096
Omni Channel,2024-11,222.0,954.0,0.8423423423423423,0.9150943396226415
Omni Channel,2024-12,209.0,519.0,0.8421052631578947,0.8342967244701349
Omni Channel,2025-01,150.0,1617.0,0.82,0.9449598021026593
Omni Channel,2025-02,147.0,475.0,0.8435374149659864,0.8968421052631579
Omni Channel,2025-03,178.0,3332.0,0.8595505617977528,0.9795918367346939
Omni Channel,2025-04,164.0,847.0,0.8292682926829268,0.922077922077922
Omni Channel,2025-05,153.0,548.0,0.8823529411764706,0.9343065693430657
Omni Channel,2025-06,146.0,1547.0,0.9041095890410958,0.9508726567550096
Omni Channel,2025-07,154.0,534.0,0.8246753246753247,0.8558052434456929
Omni Channel,2025-08,198.0,1204.0,0.9040404040404041,0.9692691029900332
Omni Channel,2025-09,161.0,1488.0,0.8819875776397516,0.8790322580645161
Omni Channel,2025-10,182.0,1164.0,0.9010989010989011,0.947594501718213
Omni Channel,2025-11,217.0,1482.0,0.8248847926267281,0.9001349527665317
Omni Channel,2025-12,248.0,2106.0,0.8225806451612904,0.7212725546058879
Omni Channel,2026-01,118.0,403.0,0.8050847457627118,0.8635235732009926
Omni Channel,2026-02,121.0,978.0,0.8347107438016529,0.9591002044989775
Omni Channel,2026-03,178.0,1171.0,0.8764044943820225,0.9615713065755764
Omni Channel,2026-04,193.0,443.0,0.9119170984455959,0.9051918735891648
Omni Channel,2026-05,119.0,306.0,0.8067226890756303,0.8431372549019608
Omni Channel,2026-06,154.0,589.0,0.7467532467532467,0.4601018675721562
Omni Channel,2026-07,161.0,622.0,0.7639751552795031,0.5385852090032154
Omni Channel,2026-08,199.0,500.0,0.8592964824120602,0.824
Omni Channel,2026-09,112.0,646.0,0.8482142857142857,0.3761609907120743
Omni Channel,2026-12,6.0,12.0,1.0,1.0
Tendering,2021-12,1.0,6.0,0.0,0.0
Tendering,2022-01,1.0,3.0,0.0,0.0
Tendering,2022-05,1.0,5.0,1.0,1.0
Tendering,2022-09,2.0,200.0,1.0,1.0
Tendering,2022-10,2.0,200.0,1.0,1.0
Tendering,2022-11,2.0,157.0,1.0,1.0
Tendering,2022-12,9.0,444.0,1.0,1.0
Tendering,2023-01,5.0,274.0,1.0,1.0
Tendering,2023-02,14.0,1248.0,1.0,1.0
Tendering,2023-03,12.0,562.0,0.9166666666666666,0.994661921708185
Tendering,2023-04,4.0,284.0,0.5,0.9859154929577465
Tendering,2023-05,9.0,382.0,1.0,1.0
Tendering,2023-06,5.0,4290.0,1.0,1.0
