RevenueType,month,n,median,p25,p75,mean,min,max
Omni Channel,2018-12,2,37.0,37.0,37.0,37.0,37.0,37.0
Omni Channel,2020-03,2,219.0,219.0,219.0,219.0,219.0,219.0
Omni Channel,2020-11,1,1198.0,1198.0,1198.0,1198.0,1198.0,1198.0
Omni Channel,2021-04,2,21.0,21.0,21.0,21.0,21.0,21.0
Omni Channel,2021-06,2,105.0,105.0,105.0,105.0,105.0,105.0
Omni Channel,2021-07,1,53.0,53.0,53.0,53.0,53.0,53.0
Omni Channel,2021-08,2,1.0,1.0,1.0,1.0,1.0,1.0
Omni Channel,2021-10,16,339.0,216.0,913.25,509.5,57.0,1078.0
Omni Channel,2021-12,1,2.0,2.0,2.0,2.0,2.0,2.0
Omni Channel,2022-01,1,8.0,8.0,8.0,8.0,8.0,8.0
Omni Channel,2022-05,3,17.0,17.0,149.0,105.0,17.0,281.0
Omni Channel,2022-07,7,125.0,84.0,159.5,129.0,82.0,209.0
Omni Channel,2022-08,29,110.0,78.0,165.0,119.41379310344827,1.0,208.0
Omni Channel,2022-09,11,145.0,106.5,180.5,137.27272727272728,38.0,188.0
Omni Channel,2022-10,20,94.0,24.0,147.75,106.6,4.0,346.0
Omni Channel,2022-11,5,65.0,65.0,109.0,80.4,54.0,109.0
Omni Channel,2022-12,160,34.0,29.0,44.0,41.2125,10.0,121.0
Omni Channel,2023-01,410,29.0,18.0,35.0,29.0,0.0,92.0
Omni Channel,2023-02,180,15.0,9.0,21.0,18.644444444444446,0.0,167.0
Omni Channel,2023-03,271,15.0,8.0,26.0,22.675276752767527,0.0,164.0
Omni Channel,2023-04,131,21.0,7.0,37.0,29.00763358778626,0.0,197.0
Omni Channel,2023-05,156,12.0,4.0,24.0,21.705128205128204,0.0,434.0
Omni Channel,2023-06,201,14.0,5.0,24.0,22.0,-32.0,269.0
Omni Channel,2023-07,227,14.0,6.0,30.0,19.876651982378856,0.0,158.0
Omni Channel,2023-08,220,16.0,6.0,33.0,30.65,0.0,602.0
Omni Channel,2023-09,219,18.0,7.0,24.0,24.164383561643834,0.0,395.0
Omni Channel,2023-10,272,12.0,4.0,23.0,20.316176470588236,0.0,491.0
Omni Channel,2023-11,279,16.0,6.0,26.0,24.164874551971327,0.0,254.0
Omni Channel,2023-12,177,12.0,6.0,20.0,22.06779661016949,-336.0,245.0
Omni Channel,2024-01,155,22.0,6.5,42.0,38.07741935483871,1.0,310.0
Omni Channel,2024-02,183,13.0,7.0,25.0,18.475409836065573,1.0,72.0
Omni Channel,2024-03,167,17.0,7.5,36.5,35.455089820359284,0.0,415.0
Omni Channel,2024-04,150,16.0,6.0,41.0,35.64666666666667,0.0,475.0
Omni Channel,2024-05,130,11.5,4.25,31.0,21.676923076923078,-1.0,126.0
Omni Channel,2024-06,165,13.0,5.0,36.0,23.55757575757576,0.0,147.0
Omni Channel,2024-07,122,14.0,6.0,31.25,24.868852459016395,0.0,205.0
Omni Channel,2024-08,182,17.0,6.0,42.0,49.137362637362635,0.0,510.0
Omni Channel,2024-09,239,11.0,5.5,21.0,17.276150627615063,0.0,395.0
Omni Channel,2024-10,183,15.0,5.5,24.0,19.825136612021858,0.0,192.0
Omni Channel,2024-11,249,13.0,5.0,22.0,19.140562248995984,0.0,144.0
Omni Channel,2024-12,126,20.0,6.25,42.75,29.484126984126984,0.0,144.0
Omni Channel,2025-01,196,19.5,9.0,42.25,29.617346938775512,0.0,325.0
Omni Channel,2025-02,154,14.5,7.0,43.75,29.337662337662337,0.0,140.0
Omni Channel,2025-03,169,17.0,7.0,35.0,27.94674556213018,0.0,142.0
Omni Channel,2025-04,157,15.0,5.0,25.0,21.401273885350317,0.0,245.0
Omni Channel,2025-05,178,19.0,7.0,35.0,38.01685393258427,0.0,282.0
Omni Channel,2025-06,117,22.0,7.0,34.0,34.504273504273506,0.0,368.0
Omni Channel,2025-07,134,12.0,3.0,24.75,18.417910447761194,0.0,123.0
Omni Channel,2025-08,234,14.0,5.25,26.5,19.662393162393162,0.0,115.0
Omni Channel,2025-09,167,19.0,7.0,27.0,25.934131736526947,0.0,268.0
Omni Channel,2025-10,164,16.0,7.0,32.0,23.609756097560975,0.0,223.0
Omni Channel,2025-11,322,19.0,7.0,29.0,24.885093167701864,0.0,283.0
Omni Channel,2025-12,100,16.0,7.0,45.0,31.75,0.0,211.0
Omni Channel,2026-01,168,19.0,13.0,42.0,31.803571428571427,1.0,205.0
Omni Channel,2026-02,121,20.0,7.0,34.0,27.677685950413224,0.0,119.0
Omni Channel,2026-03,156,11.0,3.0,23.0,25.53846153846154,-3.0,182.0
Omni Channel,2026-04,185,12.0,4.0,33.0,23.216216216216218,0.0,136.0
Omni Channel,2026-05,136,14.0,6.0,29.0,23.698529411764707,0.0,117.0
Omni Channel,2026-06,115,10.0,3.0,24.0,18.08695652173913,-1.0,74.0
Omni Channel,2026-07,162,18.0,6.25,32.0,19.88888888888889,0.0,64.0
Omni Channel,2026-08,170,10.0,4.0,17.0,11.811764705882354,0.0,43.0
Omni Channel,2026-09,41,2.0,1.0,4.0,4.609756097560975,0.0,22.0
Tendering,2021-12,4,66.0,58.75,93.5,86.25,49.0,164.0
Tendering,2022-08,8,58.0,42.25,69.75,54.25,16.0,86.0
Tendering,2022-12,18,11.0,5.0,62.25,31.38888888888889,3.0,105.0
Tendering,2023-01,2,28.0,27.0,29.0,28.0,26.0,30.0
Tendering,2023-02,20,15.0,15.0,43.0,24.45,2.0,61.0
Tendering,2023-03,8,13.0,13.0,16.0,16.0,13.0,25.0
Tendering,2023-04,2,18.0,18.0,18.0,18.0,18.0,18.0
Tendering,2023-05,3,25.0,20.0,31.5,26.0,15.0,38.0
Tendering,2023-06,9,37.0,12.0,41.0,35.888888888888886,8.0,78.0
Tendering,2023-08,1,16.0,16.0,16.0,16.0,16.0,16.0
Tendering,2023-09,26,18.0,12.0,18.0,15.346153846153847,12.0,21.0
Tendering,2023-10,1,245.0,245.0,245.0,245.0,245.0,245.0
Tendering,2023-11,20,57.0,56.0,57.0,57.15,56.0,64.0
Tendering,2023-12,1,62.0,62.0,62.0,62.0,62.0,62.0
Tendering,2024-01,2,161.0,103.5,218.5,161.0,46.0,276.0
Tendering,2024-02,2,28.0,24.5,31.5,28.0,21.0,35.0
Tendering,2024-03,4,6.5,6.0,7.25,6.75,6.0,8.0
Tendering,2024-05,2,30.0,30.0,30.0,30.0,30.0,30.0
Tendering,2024-06,1,28.0,28.0,28.0,28.0,28.0,28.0
Tendering,2024-08,3,59.0,40.0,72.5,55.333333333333336,21.0,86.0
Tendering,2024-09,13,15.0,15.0,15.0,21.076923076923077,15.0,68.0
Tendering,2024-10,15,52.0,52.0,55.0,59.06666666666667,52.0,90.0
Tendering,2024-11,20,31.0,31.0,69.25,65.35,31.0,211.0
Tendering,2025-01,1,61.0,61.0,61.0,61.0,61.0,61.0
Tendering,2025-02,2,39.0,39.0,39.0,39.0,39.0,39.0
Tendering,2025-05,23,22.0,14.0,22.0,19.043478260869566,14.0,26.0
Tendering,2025-06,3,41.0,41.0,43.0,42.333333333333336,41.0,45.0
Tendering,2025-07,5,30.0,30.0,30.0,30.0,30.0,30.0
Tendering,2025-08,2,144.0,107.5,180.5,144.0,71.0,217.0
Tendering,2025-09,1,35.0,35.0,35.0,35.0,35.0,35.0
