RevenueType,month,n_contracts,total_qty,n_traceable_pre_existing,traceable_share_row,traceable_share_qty,n_no_token,n_no_cube_final_link
Omni Channel,2018-12,2.0,9.0,0.0,0.0,0.0,0.0,1.0
Omni Channel,2020-03,2.0,4.0,0.0,0.0,0.0,0.0,2.0
Omni Channel,2020-11,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Omni Channel,2021-04,2.0,4.0,0.0,0.0,0.0,0.0,2.0
Omni Channel,2021-06,2.0,4.0,0.0,0.0,0.0,0.0,2.0
Omni Channel,2021-07,1.0,2.0,0.0,0.0,0.0,0.0,1.0
Omni Channel,2021-08,2.0,4.0,0.0,0.0,0.0,0.0,2.0
Omni Channel,2021-10,16.0,32.0,0.0,0.0,0.0,0.0,14.0
Omni Channel,2021-12,1.0,3.0,0.0,0.0,0.0,0.0,1.0
Omni Channel,2022-01,1.0,3.0,0.0,0.0,0.0,0.0,1.0
Omni Channel,2022-05,3.0,23.0,0.0,0.0,0.0,0.0,3.0
Omni Channel,2022-07,7.0,612.0,0.0,0.0,0.0,0.0,7.0
Omni Channel,2022-08,29.0,1124.0,0.0,0.0,0.0,20.0,4.0
Omni Channel,2022-09,11.0,737.0,0.0,0.0,0.0,0.0,8.0
Omni Channel,2022-10,20.0,143.0,0.0,0.0,0.0,0.0,16.0
Omni Channel,2022-11,5.0,36.0,0.0,0.0,0.0,0.0,4.0
Omni Channel,2022-12,160.0,2518.0,0.0,0.0,0.0,16.0,35.0
Omni Channel,2023-01,410.0,5384.0,42.0,0.1024390243902439,0.05813521545319465,1.0,67.0
Omni Channel,2023-02,180.0,1173.0,66.0,0.36666666666666664,0.3009377664109122,1.0,38.0
Omni Channel,2023-03,271.0,2113.0,75.0,0.2767527675276753,0.10175106483672504,6.0,82.0
Omni Channel,2023-04,131.0,1932.0,35.0,0.26717557251908397,0.04503105590062112,4.0,36.0
Omni Channel,2023-05,156.0,946.0,56.0,0.358974358974359,0.26004228329809725,2.0,60.0
Omni Channel,2023-06,201.0,2072.0,53.0,0.263681592039801,0.07239382239382239,1.0,75.0
Omni Channel,2023-07,227.0,3146.0,63.0,0.2775330396475771,0.054990464081373175,10.0,69.0
Omni Channel,2023-08,220.0,1255.0,73.0,0.33181818181818185,0.14342629482071714,4.0,79.0
Omni Channel,2023-09,219.0,3030.0,80.0,0.365296803652968,0.06699669966996699,9.0,53.0
Omni Channel,2023-10,272.0,2931.0,98.0,0.3602941176470588,0.1047424087342204,4.0,88.0
Omni Channel,2023-11,279.0,6253.0,83.0,0.2974910394265233,0.030865184711338558,20.0,73.0
Omni Channel,2023-12,177.0,1567.0,66.0,0.3728813559322034,0.08679004467134652,6.0,16.0
Omni Channel,2024-01,155.0,5293.0,73.0,0.47096774193548385,0.02777252975628188,8.0,4.0
Omni Channel,2024-02,183.0,574.0,88.0,0.4808743169398907,0.41289198606271776,0.0,9.0
Omni Channel,2024-03,167.0,1018.0,72.0,0.4311377245508982,0.16110019646365423,12.0,13.0
Omni Channel,2024-04,150.0,1112.0,85.0,0.5666666666666667,0.1564748201438849,1.0,8.0
Omni Channel,2024-05,130.0,3371.0,72.0,0.5538461538461539,0.05873628003559775,4.0,15.0
Omni Channel,2024-06,165.0,1198.0,97.0,0.5878787878787879,0.17529215358931552,3.0,6.0
Omni Channel,2024-07,122.0,454.0,80.0,0.6557377049180327,0.3744493392070485,0.0,5.0
Omni Channel,2024-08,182.0,1407.0,79.0,0.4340659340659341,0.39872068230277186,5.0,14.0
Omni Channel,2024-09,239.0,2982.0,131.0,0.5481171548117155,0.3947015425888665,0.0,19.0
Omni Channel,2024-10,183.0,1056.0,108.0,0.5901639344262295,0.22821969696969696,5.0,13.0
Omni Channel,2024-11,249.0,1020.0,115.0,0.46184738955823296,0.2901960784313726,0.0,16.0
Omni Channel,2024-12,126.0,932.0,59.0,0.46825396825396826,0.22532188841201717,5.0,11.0
Omni Channel,2025-01,196.0,3044.0,78.0,0.3979591836734694,0.15505913272010513,4.0,14.0
Omni Channel,2025-02,154.0,405.0,85.0,0.551948051948052,0.454320987654321,1.0,13.0
Omni Channel,2025-03,169.0,1718.0,74.0,0.4378698224852071,0.26542491268917345,0.0,12.0
Omni Channel,2025-04,157.0,399.0,74.0,0.4713375796178344,0.38345864661654133,3.0,9.0
Omni Channel,2025-05,178.0,2236.0,77.0,0.43258426966292135,0.07871198568872988,13.0,21.0
Omni Channel,2025-06,117.0,1027.0,59.0,0.5042735042735043,0.17818889970788704,0.0,6.0
Omni Channel,2025-07,134.0,860.0,84.0,0.6268656716417911,0.1930232558139535,1.0,9.0
Omni Channel,2025-08,234.0,1141.0,133.0,0.5683760683760684,0.3374233128834356,0.0,11.0
Omni Channel,2025-09,167.0,1613.0,88.0,0.5269461077844312,0.1314321140731556,0.0,13.0
Omni Channel,2025-10,164.0,414.0,107.0,0.6524390243902439,0.5314009661835749,0.0,15.0
Omni Channel,2025-11,323.0,1900.0,163.0,0.5046439628482973,0.19736842105263158,2.0,30.0
Omni Channel,2025-12,100.0,290.0,61.0,0.61,0.4724137931034483,0.0,12.0
Omni Channel,2026-01,168.0,1057.0,79.0,0.47023809523809523,0.1532639545884579,1.0,14.0
Omni Channel,2026-02,121.0,336.0,66.0,0.5454545454545454,0.40476190476190477,0.0,12.0
Omni Channel,2026-03,156.0,971.0,95.0,0.6089743589743589,0.203913491246138,1.0,21.0
Omni Channel,2026-04,185.0,596.0,93.0,0.5027027027027027,0.3389261744966443,2.0,32.0
Omni Channel,2026-05,136.0,450.0,82.0,0.6029411764705882,0.3977777777777778,0.0,11.0
Omni Channel,2026-06,115.0,359.0,70.0,0.6086956521739131,0.38997214484679665,2.0,13.0
Omni Channel,2026-07,162.0,409.0,103.0,0.6358024691358025,0.5501222493887531,0.0,14.0
Omni Channel,2026-08,170.0,379.0,102.0,0.6,0.5857519788918206,0.0,19.0
Omni Channel,2026-09,41.0,81.0,31.0,0.7560975609756098,0.7037037037037037,0.0,1.0
Tendering,2021-12,4.0,17.0,0.0,0.0,0.0,0.0,4.0
Tendering,2022-08,8.0,723.0,0.0,0.0,0.0,0.0,7.0
Tendering,2022-12,18.0,1929.0,0.0,0.0,0.0,0.0,14.0
Tendering,2023-01,2.0,113.0,0.0,0.0,0.0,0.0,1.0
Tendering,2023-02,20.0,324.0,0.0,0.0,0.0,0.0,7.0
Tendering,2023-03,8.0,292.0,2.0,0.25,0.958904109589041,0.0,6.0
Tendering,2023-04,2.0,280.0,0.0,0.0,0.0,0.0,2.0
Tendering,2023-05,3.0,3690.0,0.0,0.0,0.0,0.0,1.0
Tendering,2023-06,9.0,1629.0,0.0,0.0,0.0,0.0,2.0
Tendering,2023-08,1.0,30.0,0.0,0.0,0.0,0.0,1.0
Tendering,2023-09,26.0,235.0,4.0,0.15384615384615385,0.1702127659574468,0.0,12.0
Tendering,2023-10,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Tendering,2023-11,20.0,9374.0,0.0,0.0,0.0,0.0,10.0
Tendering,2023-12,1.0,152.0,0.0,0.0,0.0,0.0,1.0
Tendering,2024-01,2.0,164.0,0.0,0.0,0.0,0.0,1.0
Tendering,2024-02,2.0,304.0,0.0,0.0,0.0,0.0,2.0
Tendering,2024-03,4.0,360.0,0.0,0.0,0.0,0.0,2.0
Tendering,2024-05,2.0,4.0,0.0,0.0,0.0,0.0,2.0
Tendering,2024-06,1.0,39.0,0.0,0.0,0.0,0.0,1.0
Tendering,2024-08,3.0,4140.0,0.0,0.0,0.0,0.0,2.0
Tendering,2024-09,13.0,4308.0,0.0,0.0,0.0,0.0,13.0
Tendering,2024-10,15.0,2319.0,0.0,0.0,0.0,0.0,14.0
Tendering,2024-11,20.0,15527.0,0.0,0.0,0.0,0.0,0.0
Tendering,2025-01,1.0,3.0,0.0,0.0,0.0,0.0,1.0
Tendering,2025-02,2.0,23.0,0.0,0.0,0.0,0.0,2.0
Tendering,2025-05,23.0,3508.0,0.0,0.0,0.0,0.0,18.0
Tendering,2025-06,3.0,35.0,0.0,0.0,0.0,0.0,1.0
Tendering,2025-07,5.0,188.0,0.0,0.0,0.0,0.0,5.0
Tendering,2025-08,2.0,21.0,0.0,0.0,0.0,0.0,1.0
Tendering,2025-09,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Tendering,2025-10,3.0,62.0,0.0,0.0,0.0,0.0,3.0
Tendering,2025-11,5.0,890.0,0.0,0.0,0.0,0.0,5.0
Tendering,2026-01,12.0,5398.0,0.0,0.0,0.0,0.0,7.0
Tendering,2026-05,14.0,18620.0,0.0,0.0,0.0,0.0,7.0
Tendering,2026-07,6.0,2460.0,0.0,0.0,0.0,1.0,4.0
Tendering,2026-08,9.0,3496.0,0.0,0.0,0.0,0.0,8.0
