status_scope,RevenueType,month,manufacturing_type,n,n_share,qty,qty_share,n_total,qty_total
Actual_only,Omni Channel,2024-01,MTO,31,0.1987179487179487,1921.0,0.362726586102719,156,5296.0
Actual_only,Omni Channel,2024-01,MTS,125,0.8012820512820513,3375.0,0.637273413897281,156,5296.0
Actual_only,Omni Channel,2024-02,MTO,14,0.07692307692307693,69.0,0.12084063047285463,182,571.0
Actual_only,Omni Channel,2024-02,MTS,168,0.9230769230769231,502.0,0.8791593695271454,182,571.0
Actual_only,Omni Channel,2024-03,MTO,22,0.13095238095238096,640.0,0.6268364348677767,168,1021.0
Actual_only,Omni Channel,2024-03,MTS,146,0.8690476190476191,381.0,0.3731635651322233,168,1021.0
Actual_only,Omni Channel,2024-04,MTO,20,0.13333333333333333,86.0,0.07733812949640288,150,1112.0
Actual_only,Omni Channel,2024-04,MTS,130,0.8666666666666667,1026.0,0.9226618705035972,150,1112.0
Actual_only,Omni Channel,2024-05,MISSING,1,0.007692307692307693,1.0,0.0002965599051008304,130,3372.0
Actual_only,Omni Channel,2024-05,MTO,24,0.18461538461538463,2932.0,0.8695136417556346,130,3372.0
Actual_only,Omni Channel,2024-05,MTS,105,0.8076923076923077,439.0,0.13018979833926453,130,3372.0
Actual_only,Omni Channel,2024-06,MISSING,1,0.006060606060606061,75.0,0.06260434056761269,165,1198.0
Actual_only,Omni Channel,2024-06,MTO,21,0.12727272727272726,301.0,0.25125208681135225,165,1198.0
Actual_only,Omni Channel,2024-06,MTS,143,0.8666666666666667,822.0,0.6861435726210351,165,1198.0
Actual_only,Omni Channel,2024-07,MTO,17,0.13934426229508196,109.0,0.23851203501094093,122,457.0
Actual_only,Omni Channel,2024-07,MTS,105,0.860655737704918,348.0,0.7614879649890591,122,457.0
Actual_only,Omni Channel,2024-08,MTO,34,0.1878453038674033,651.0,0.4626865671641791,181,1407.0
Actual_only,Omni Channel,2024-08,MTS,147,0.8121546961325967,756.0,0.5373134328358209,181,1407.0
Actual_only,Omni Channel,2024-09,MTO,18,0.07531380753138076,51.0,0.01710261569416499,239,2982.0
Actual_only,Omni Channel,2024-09,MTS,221,0.9246861924686193,2931.0,0.9828973843058351,239,2982.0
Actual_only,Omni Channel,2024-10,MTO,27,0.14917127071823205,688.0,0.6590038314176245,181,1044.0
Actual_only,Omni Channel,2024-10,MTS,154,0.850828729281768,356.0,0.34099616858237547,181,1044.0
Actual_only,Omni Channel,2024-11,MTO,30,0.11857707509881422,466.0,0.4506769825918762,253,1034.0
Actual_only,Omni Channel,2024-11,MTS,223,0.8814229249011858,568.0,0.5493230174081238,253,1034.0
Actual_only,Omni Channel,2024-12,MTO,12,0.09523809523809523,676.0,0.7253218884120172,126,932.0
Actual_only,Omni Channel,2024-12,MTS,114,0.9047619047619048,256.0,0.27467811158798283,126,932.0
Actual_only,Omni Channel,2025-01,MTO,56,0.2857142857142857,1673.0,0.5496057818659659,196,3044.0
Actual_only,Omni Channel,2025-01,MTS,140,0.7142857142857143,1371.0,0.4503942181340342,196,3044.0
Actual_only,Omni Channel,2025-02,MISSING,1,0.00641025641025641,3.0,0.0029850746268656717,156,1005.0
Actual_only,Omni Channel,2025-02,MTO,24,0.15384615384615385,689.0,0.6855721393034826,156,1005.0
Actual_only,Omni Channel,2025-02,MTS,131,0.8397435897435898,313.0,0.31144278606965176,156,1005.0
Actual_only,Omni Channel,2025-03,MISSING,2,0.011494252873563218,100.0,0.0544069640914037,174,1838.0
Actual_only,Omni Channel,2025-03,MTO,46,0.26436781609195403,1438.0,0.7823721436343852,174,1838.0
