status_scope,RevenueType,period,manufacturing_type,n,n_share,qty,qty_share,n_total,qty_total
Actual_only,Omni Channel,P1,MISSING,6,0.0029411764705882353,108.0,0.008279034112686854,2040,13045.0
Actual_only,Omni Channel,P1,MTO,316,0.15490196078431373,7199.0,0.5518589497891913,2040,13045.0
Actual_only,Omni Channel,P1,MTS,1718,0.842156862745098,5738.0,0.43986201609812187,2040,13045.0
Actual_only,Omni Channel,P2,MTO,61,0.09775641025641026,443.0,0.26400476758045294,624,1678.0
Actual_only,Omni Channel,P2,MTS,563,0.9022435897435898,1235.0,0.7359952324195471,624,1678.0
Actual_only,Tendering,P1,MTO,53,0.9814814814814815,10102.0,0.9999010194991587,54,10103.0
Actual_only,Tendering,P1,MTS,1,0.018518518518518517,1.0,9.898050084133426e-05,54,10103.0
Actual_only,Tendering,P2,MISSING,6,0.2,758.0,0.030655989646525925,30,24726.0
Actual_only,Tendering,P2,MTO,24,0.8,23968.0,0.9693440103534741,30,24726.0
Actual_plus_MPS,Omni Channel,P1,MISSING,6,0.002904162633107454,108.0,0.00764872521246459,2066,14120.0
Actual_plus_MPS,Omni Channel,P1,MTO,328,0.15876089060987417,8246.0,0.5839943342776204,2066,14120.0
Actual_plus_MPS,Omni Channel,P1,MTS,1732,0.8383349467570184,5766.0,0.408356940509915,2066,14120.0
Actual_plus_MPS,Omni Channel,P2,MTO,101,0.14027777777777778,1691.0,0.5517128874388254,720,3065.0
Actual_plus_MPS,Omni Channel,P2,MTS,619,0.8597222222222223,1374.0,0.44828711256117454,720,3065.0
Actual_plus_MPS,Tendering,P1,MTO,53,0.9814814814814815,10102.0,0.9999010194991587,54,10103.0
Actual_plus_MPS,Tendering,P1,MTS,1,0.018518518518518517,1.0,9.898050084133426e-05,54,10103.0
Actual_plus_MPS,Tendering,P2,MISSING,8,0.21621621621621623,1515.0,0.050071057937006315,37,30257.0
Actual_plus_MPS,Tendering,P2,MTO,29,0.7837837837837838,28742.0,0.9499289420629937,37,30257.0
