itemcode,createDate,qty,n_rows,revenue_type,linked_via_jobcode,linked_via_olmjobcode,linked
VT-F-99-010721,2024-05-09,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-01-05,3.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-01-03,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-03,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-01-03,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-03,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-01-04,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-04,1.0,1,Omni Channel,True,True,True
VT-F-99-010722,2024-01-04,553.0,6,Omni Channel,True,True,True
VT-F-99-010820,2024-01-04,138.0,2,Omni Channel,True,True,True
CT-F-99-020501,2024-01-04,50.0,1,Omni Channel,True,True,True
CT-F-99-020502,2024-01-04,20.0,1,Omni Channel,True,True,True
CT-F-99-020503,2024-01-04,10.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-01-04,10.0,2,Omni Channel,True,True,True
CT-F-99-020506,2024-01-04,6.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-01-04,6.0,1,Omni Channel,True,True,True
CT-F-99-020514,2024-01-04,20.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-04,200.0,2,Omni Channel,True,True,True
VT-F-99-010205,2024-01-04,3.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-01-04,3.0,1,Omni Channel,True,True,True
VT-F-99-010715,2024-01-04,1.0,1,Omni Channel,True,True,True
CT-F-99-020502,2024-01-04,4.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-04,4.0,1,Omni Channel,True,True,True
RS-F-99-070005,2024-01-04,60.0,1,Omni Channel,True,True,True
CT-F-99-020501,2024-01-04,40.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-01-04,6.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-01-04,6.0,1,Omni Channel,True,True,True
RS-F-99-070002,2024-01-04,90.0,1,Omni Channel,True,True,True
RS-F-99-070003,2024-01-04,450.0,1,Omni Channel,True,True,True
RS-F-99-070006,2024-01-04,300.0,1,Omni Channel,True,True,True
RS-F-99-070007,2024-01-04,300.0,1,Omni Channel,True,True,True
VT-F-99-010820,2024-01-04,152.0,1,Tendering,True,True,True
VT-F-99-010615,2024-01-08,12.0,1,Tendering,True,True,True
CT-F-99-020509,2024-01-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010616,2024-01-08,3.0,1,Omni Channel,True,True,True
CT-F-99-020524,2024-01-08,3.0,1,Omni Channel,True,True,True
CT-F-99-020702,2024-01-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020524,2024-01-08,3.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-01-09,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-09,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-01-09,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-09,1.0,1,Omni Channel,True,True,True
CT-F-99-020530,2024-01-09,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-09,1.0,1,Omni Channel,True,True,True
CT-F-99-020522,2024-01-10,3.0,1,Omni Channel,True,True,True
