month,revenue_type,n_contracts,n_linked,link_rate_count,n_linked_via_jobcode,n_linked_via_olmjobcode,qty_total,qty_linked,link_rate_qty
2024-01,Omni Channel,144.0,137.0,0.9513888888888888,137.0,137.0,5296.0,4171.0,0.7875755287009063
2024-02,Omni Channel,182.0,181.0,0.9945054945054945,181.0,181.0,571.0,568.0,0.9947460595446584
2024-03,Omni Channel,159.0,151.0,0.949685534591195,151.0,151.0,1021.0,439.0,0.4299706170421156
2024-04,Omni Channel,145.0,144.0,0.993103448275862,144.0,144.0,1112.0,1097.0,0.9865107913669064
2024-05,Omni Channel,126.0,122.0,0.9682539682539683,122.0,122.0,3372.0,3349.0,0.9931791221826809
2024-06,Omni Channel,157.0,152.0,0.9681528662420382,152.0,152.0,1198.0,936.0,0.7813021702838063
2024-07,Omni Channel,120.0,118.0,0.9833333333333333,118.0,118.0,457.0,445.0,0.973741794310722
2024-08,Omni Channel,173.0,168.0,0.9710982658959537,168.0,168.0,1407.0,1188.0,0.8443496801705757
2024-09,Omni Channel,229.0,227.0,0.9912663755458515,227.0,227.0,2982.0,2976.0,0.9979879275653923
2024-10,Omni Channel,172.0,163.0,0.9476744186046512,163.0,163.0,1044.0,558.0,0.5344827586206896
2024-11,Omni Channel,236.0,235.0,0.9957627118644068,235.0,235.0,1034.0,1032.0,0.9980657640232108
2024-12,Omni Channel,118.0,111.0,0.940677966101695,111.0,111.0,932.0,350.0,0.37553648068669526
2025-01,Omni Channel,186.0,180.0,0.967741935483871,180.0,180.0,3044.0,2579.0,0.8472404730617609
2025-02,Omni Channel,147.0,144.0,0.9795918367346939,144.0,144.0,1005.0,395.0,0.39303482587064675
2025-03,Omni Channel,166.0,161.0,0.9698795180722891,161.0,161.0,1838.0,1718.0,0.9347116430903155
2025-04,Omni Channel,158.0,154.0,0.9746835443037974,154.0,154.0,401.0,393.0,0.9800498753117207
2025-05,Omni Channel,172.0,157.0,0.9127906976744186,157.0,157.0,2540.0,1374.0,0.5409448818897638
2025-06,Omni Channel,120.0,114.0,0.95,114.0,114.0,1335.0,1017.0,0.7617977528089888
2025-07,Omni Channel,130.0,127.0,0.9769230769230769,127.0,127.0,860.0,840.0,0.9767441860465116
2025-08,Omni Channel,209.0,209.0,1.0,209.0,209.0,1137.0,1137.0,1.0
2025-09,Omni Channel,166.0,160.0,0.963855421686747,160.0,160.0,1617.0,1570.0,0.9709338280766853
2025-10,Omni Channel,165.0,161.0,0.9757575757575757,161.0,161.0,417.0,353.0,0.8465227817745803
2025-11,Omni Channel,304.0,302.0,0.993421052631579,302.0,302.0,1908.0,1795.0,0.9407756813417191
2025-12,Omni Channel,101.0,99.0,0.9801980198019802,99.0,99.0,298.0,294.0,0.9865771812080537
2026-01,Omni Channel,169.0,167.0,0.9881656804733728,167.0,167.0,1061.0,1052.0,0.9915174363807728
2026-02,Omni Channel,110.0,105.0,0.9545454545454546,105.0,105.0,345.0,328.0,0.9507246376811594
2026-03,Omni Channel,152.0,145.0,0.9539473684210527,145.0,145.0,1997.0,1828.0,0.9153730595893841
2026-04,Omni Channel,185.0,177.0,0.9567567567567568,177.0,177.0,605.0,561.0,0.9272727272727272
2026-05,Omni Channel,142.0,132.0,0.9295774647887324,132.0,132.0,1056.0,596.0,0.5643939393939394
2026-06,Omni Channel,119.0,110.0,0.9243697478991597,110.0,110.0,926.0,405.0,0.4373650107991361
2026-07,Omni Channel,166.0,158.0,0.9518072289156626,158.0,158.0,419.0,391.0,0.9331742243436754
2026-08,Omni Channel,191.0,186.0,0.9738219895287958,186.0,186.0,455.0,425.0,0.9340659340659341
2026-09,Omni Channel,83.0,70.0,0.8433734939759037,70.0,70.0,209.0,142.0,0.6794258373205742
2024-01,Tendering,2.0,2.0,1.0,2.0,2.0,164.0,164.0,1.0
2024-02,Tendering,2.0,1.0,0.5,1.0,1.0,304.0,152.0,0.5
2024-03,Tendering,4.0,2.0,0.5,2.0,2.0,360.0,180.0,0.5
2024-05,Tendering,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2024-06,Tendering,1.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
2024-08,Tendering,2.0,1.0,0.5,1.0,1.0,4140.0,240.0,0.057971014492753624
2024-09,Tendering,12.0,1.0,0.08333333333333333,1.0,1.0,4308.0,3900.0,0.9052924791086351
2024-10,Tendering,13.0,1.0,0.07692307692307693,1.0,1.0,2319.0,6.0,0.00258732212160414
2024-11,Tendering,12.0,12.0,1.0,12.0,12.0,15527.0,15527.0,1.0
2025-01,Tendering,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2025-02,Tendering,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
2025-05,Tendering,23.0,10.0,0.43478260869565216,10.0,10.0,3508.0,1736.0,0.49486887115165334
2025-06,Tendering,3.0,2.0,0.6666666666666666,2.0,2.0,35.0,26.0,0.7428571428571429
2025-07,Tendering,5.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0
2025-08,Tendering,2.0,1.0,0.5,1.0,1.0,21.0,9.0,0.42857142857142855
2025-09,Tendering,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-10,Tendering,3.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
2025-11,Tendering,5.0,0.0,0.0,0.0,0.0,890.0,0.0,0.0
2026-01,Tendering,4.0,2.0,0.5,2.0,2.0,5398.0,2699.0,0.5
