itemcode,createDate,forecast_date,qty,status,division,revenue_type,jobcode
VT-F-99-010721,2024-01-03,2024-01-19,1.0,Actual,PEM102-OLD,Omni Channel,VT230231
CT-F-99-020505,2024-01-03,2024-01-19,3.0,Actual,PEM102-OLD,Omni Channel,CT230368
VT-F-99-010721,2024-01-03,2024-01-15,1.0,Actual,PEM102-OLD,Omni Channel,VT230231
CT-F-99-020507,2024-01-03,2024-01-15,3.0,Actual,PEM102-OLD,Omni Channel,CT230386
VT-F-99-010721,2024-01-04,2024-01-17,1.0,Actual,PEM102-OLD,Omni Channel,VT230231
CT-F-99-020506,2024-01-04,2024-01-17,3.0,Actual,PEM102-OLD,Omni Channel,CT230385
VT-F-99-010722,2024-01-04,2024-04-19,100.0,Actual,PEM102-OLD,Omni Channel,VT240001
VT-F-99-010722,2024-01-04,2024-05-30,100.0,Actual,PEM102-OLD,Omni Channel,VT240002
VT-F-99-010722,2024-01-04,2024-06-14,100.0,Actual,PEM102-OLD,Omni Channel,VT240003
VT-F-99-010722,2024-01-04,2024-06-17,100.0,Actual,PEM102-OLD,Omni Channel,VT240004
VT-F-99-010722,2024-01-04,2024-06-28,100.0,Actual,PEM102-OLD,Omni Channel,VT240005
VT-F-99-010722,2024-01-04,2024-10-31,53.0,Actual,PEM102-OLD,Omni Channel,VT240006
VT-F-99-010820,2024-01-04,2024-04-19,100.0,Actual,PEM102-OLD,Omni Channel,VT240007
VT-F-99-010820,2024-01-04,2024-05-30,38.0,Actual,PEM102-OLD,Omni Channel,VT240008
VT-F-99-010205,2024-01-04,2024-02-29,3.0,Actual,PEM102-OLD,Omni Channel,VT230237
CT-F-99-020502,2024-01-04,2024-02-29,20.0,Actual,PEM102-OLD,Omni Channel,CT230389
CT-F-99-020503,2024-01-04,2024-02-29,10.0,Actual,PEM102-OLD,Omni Channel,CT230390
CT-F-99-020504,2024-01-04,2024-02-15,6.0,Actual,PEM102-OLD,Omni Channel,CT230392
CT-F-99-020506,2024-01-04,2024-02-29,6.0,Actual,PEM102-OLD,Omni Channel,CT230393
CT-F-99-020507,2024-01-04,2024-02-29,6.0,Actual,PEM102-OLD,Omni Channel,CT230394
CT-F-99-020501,2024-01-04,2024-02-29,50.0,Actual,PEM102-OLD,Omni Channel,CT230366
VT-F-99-010203,2024-01-04,2024-02-29,100.0,Actual,PEM102-OLD,Omni Channel,VT230236
CT-F-99-020514,2024-01-04,2024-02-29,20.0,Actual,PEM102-OLD,Omni Channel,CT230388
VT-F-99-010715,2024-01-04,2024-01-25,1.0,Actual,PEM102-OLD,Omni Channel,VT240020
CT-F-99-020505,2024-01-04,2024-01-25,3.0,Actual,PEM102-OLD,Omni Channel,CT230368
VT-F-99-010203,2024-01-04,2024-01-10,4.0,Actual,PEM102-OLD,Omni Channel,VT230194
CT-F-99-020502,2024-01-04,2024-01-10,4.0,Actual,PEM102-OLD,Omni Channel,"CT230311,CT230359"
RS-F-99-070005,2024-01-04,2024-02-29,60.0,Actual,PEM102-OLD,Omni Channel,RS240019
RS-F-99-070003,2024-01-04,2024-02-29,450.0,Actual,PEM102-OLD,Omni Channel,RS240023
RS-F-99-070006,2024-01-04,2024-02-29,300.0,Actual,PEM102-OLD,Omni Channel,RS240024
CT-F-99-020506,2024-01-04,2024-03-20,6.0,Actual,PEM102-OLD,Omni Channel,CT240013
CT-F-99-020507,2024-01-04,2024-03-20,6.0,Actual,PEM102-OLD,Omni Channel,CT240014
RS-F-99-070002,2024-01-04,2024-02-29,90.0,Actual,PEM102-OLD,Omni Channel,RS240022
