ItemCode,Status,RevenueType,SaleDivision,CtrDate,PlanDelDate,ForecastDelDate,ActualDelDate,ActualQty,OLMJobCode,Company,ManuDivision,PrdTypeID,ProductType
CT-F-99-020511,Actual,,PEM102,2012-01-05,2012-01-23,2012-01-23,2012-02-02,10.0,CT12/002,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020511,Actual,,PEM102,2012-01-25,2012-01-25,2012-01-25,2012-02-01,4.0,CT12/004,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
VT-F-99-010701,Actual,,PEM102,2012-01-13,2011-12-27,2011-12-27,2012-01-26,5.0,VT12/002,PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
VT-F-99-010701,Actual,,PEM102,2012-01-17,2012-01-23,2012-01-23,2012-01-27,1.0,VT12/003,PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
VT-F-99-010701,Actual,,PEM102,2012-01-05,2012-01-31,2012-01-31,2012-01-30,1.0,VT12/005,PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
VT-F-99-010701,Actual,,PEM102,2012-01-05,2012-01-20,2012-01-20,2012-01-26,1.0,VT12/006,PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
VT-F-99-010701,Actual,,PEM102,2012-01-09,2012-01-09,2012-01-09,2012-01-26,1.0,VT12/008,PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
VT-F-99-010701,Actual,,PEM102,2012-01-09,2012-01-31,2012-01-31,2012-02-10,6.0,VT12/009,PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
RS-F-99-070003,Actual,,PEM102,2012-01-30,2012-01-30,2012-01-30,2012-01-20,3.0,RS12/015,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070002,Actual,,PEM102,2012-12-16,2012-01-16,2012-01-16,2012-01-13,500.0,RS11/286,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070002,Actual,,PEM102,2012-01-31,2012-01-31,2012-01-31,2012-01-19,500.0,RS12/013,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070004,Actual,,PEM102,2012-01-31,2012-01-31,2012-01-31,2012-01-26,500.0,RS12/018,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070005,Actual,,PEM102,2012-01-31,2012-01-31,2012-01-31,2012-01-23,500.0,RS12/019,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070002,Actual,,PEM102,2012-01-31,2012-01-31,2012-01-31,2012-05-02,500.0,RS12/017,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070004,Actual,,PEM102,2012-01-30,2012-01-24,2012-01-24,2012-01-24,3.0,RS12/016,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070004,Actual,,PEM102,2012-02-14,2012-02-14,2012-02-14,2012-02-29,250.0,RS12/034,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070005,Actual,,PEM102,2012-02-14,2012-02-14,2012-02-14,2012-02-07,500.0,RS12/035,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070002,Actual,,PEM102,2012-02-14,2012-02-14,2012-02-14,2012-03-21,250.0,RS12/033,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
CT-F-99-020506,Actual,,PEM102,2012-01-20,2012-02-03,2012-02-03,2012-02-01,2.0,CT12/011,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
RS-F-99-070002,Actual,,PEM102,2012-02-15,2012-02-23,2012-02-23,2012-03-05,18.0,RS12/043,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
RS-F-99-070003,Actual,,PEM102,2012-02-15,2012-02-23,2012-02-23,2012-02-20,9.0,RS12/044,PEM,PEM102-OLD,PT010,Current Transformer TYPE LDB (Dry Type)
CT-F-99-020505,Actual,,PEM102,2012-01-16,2012-01-31,2012-01-31,2012-02-21,2.0,CT12/005,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020505,Actual,,PEM102,2012-01-16,2012-02-22,2012-02-22,2012-03-05,2.0,CT12/005,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-01-16,2012-02-03,2012-02-03,2012-02-03,2.0,CT12/006,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020504,Actual,,PEM102,2012-01-13,2012-01-23,2012-01-23,2012-02-07,30.0,CT11/069,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020505,Actual,,PEM102,2012-01-13,2012-02-03,2012-02-03,2012-02-13,10.0,CT12/007,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-01-13,2012-01-31,2012-01-31,2012-02-13,10.0,"CT12/008,CT11/184",PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020501,Actual,,PEM102,2012-01-13,2012-01-31,2012-01-31,2012-02-13,31.0,"CT12/008,CT11/184",PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020507,Actual,,PEM102,2012-01-13,2012-02-03,2012-02-03,2012-02-13,10.0,CT12/009,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020510,Actual,,PEM102,2012-01-13,2012-02-03,2012-02-03,2012-02-13,10.0,CT12/010,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020505,Actual,,PEM102,2012-01-26,2012-02-14,2012-02-14,2012-03-05,2.0,CT12/012,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-01-26,2012-02-14,2012-02-14,2012-02-23,5.0,CT12/013,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-01-26,2012-02-14,2012-02-14,2012-04-26,5.0,CT12/013,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020508,Actual,,PEM102,2012-01-26,2012-02-14,2012-02-14,2012-02-28,4.0,CT12/014,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020505,Actual,,PEM102,2012-01-31,2012-02-23,2012-02-23,2012-03-21,4.0,CT12/015,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020508,Actual,,PEM102,2012-01-31,2012-03-23,2012-03-23,2012-02-28,2.0,CT12/016,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020511,Actual,,PEM102,2012-01-31,2012-03-23,2012-03-23,2012-02-28,6.0,CT12/017,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020507,Actual,,PEM102,2012-02-08,2012-03-30,2012-03-30,2012-02-24,6.0,CT12/026,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020701,Actual,,PEM102,2012-02-08,2012-03-30,2012-03-30,2012-05-03,20.0,CT12/021,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020702,Actual,,PEM102,2012-02-08,2012-03-30,2012-03-30,2012-05-15,20.0,CT12/022,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020703,Actual,,PEM102,2012-02-08,2012-03-30,2012-03-30,2012-05-15,20.0,CT12/023,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020704,Actual,,PEM102,2012-02-08,2012-03-05,2012-03-05,2012-05-15,5.0,CT12/024,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020706,Actual,,PEM102,2012-02-08,2012-03-30,2012-03-30,2012-02-24,4.0,CT12/025,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020508,Actual,,PEM102,2012-03-02,2012-03-02,2012-03-02,2012-03-01,2.0,CT12/027,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-02-03,2012-02-10,2012-03-09,2012-05-11,5.0,CT12/028,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-02-03,2012-02-17,2012-02-17,2012-05-11,5.0,CT12/028,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-02-03,2012-02-24,2012-02-24,2012-05-11,5.0,CT12/082,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
CT-F-99-020506,Actual,,PEM102,2012-02-03,2012-03-02,2012-03-02,2012-05-11,5.0,CT12/082,PEM,PEM102-OLD,PT005,Current Transformer TYPE COL (Oil Type)
VT-F-99-010701,Actual,,PEM102,2012-01-10,2012-02-27,2012-02-27,2012-02-10,1.0,VT12/010,PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
VT-F-99-010203,Actual,,PEM102,2012-01-13,2012-01-31,2012-01-31,2012-02-01,18.0,"VT11/121,VT12/012,VT12/020,VT12/089.1",PEM,PEM102-OLD,PT026,Voltage Transformer (Oil Type)
