column,channel,value,apr2026_share,jun2026_share,apr2026_n,jun2026_n,abs_pp_change
cube_Sale_APD.division,ALL,PEM107,97.45,95.6,196,159,1.85
cube_Sale_APD.division,ALL,PPS,0.0,1.26,196,159,1.26
cube_Sale_APD.division,ALL,PTS,1.02,0.0,196,159,1.02
cube_Sale_APD.division,ALL,PCE101,0.51,1.26,196,159,0.75
cube_Sale_APD.division,ALL,PEMCSA,0.0,0.63,196,159,0.63
cube_Sale_APD.division,ALL,PEM102,1.02,1.26,196,159,0.24
cube_Sale_APD.division,Omni Channel,PEM107,98.44,97.4,192,154,1.03
cube_Sale_APD.division,Omni Channel,PEMCSA,0.0,0.65,192,154,0.65
cube_Sale_APD.division,Omni Channel,PEM102,1.04,1.3,192,154,0.26
cube_Sale_APD.division,Omni Channel,PCE101,0.52,0.65,192,154,0.13
cube_Sale_APD.division,Tendering,PPS,0.0,50.0,4,4,50.0
cube_Sale_APD.division,Tendering,PTS,50.0,0.0,4,4,50.0
cube_Sale_APD.division,Tendering,PEM107,50.0,50.0,4,4,0.0
cube_Sale_APD.division,Total Customer Solution,PCE101,0.0,100.0,0,1,100.0
cube_Sale_APD.status,ALL,Actual,100.0,100.0,196,159,0.0
cube_Sale_APD.status,Omni Channel,Actual,100.0,100.0,192,154,0.0
cube_Sale_APD.status,Tendering,Actual,100.0,100.0,4,4,0.0
cube_Sale_APD.status,Total Customer Solution,Actual,0.0,100.0,0,1,100.0
cube_Sale_APD.manufacturing_type,ALL,MTO,11.22,21.38,196,159,10.16
cube_Sale_APD.manufacturing_type,ALL,MTS,88.78,78.62,196,159,10.16
cube_Sale_APD.manufacturing_type,Omni Channel,MTO,9.38,19.48,192,154,10.11
cube_Sale_APD.manufacturing_type,Omni Channel,MTS,90.62,80.52,192,154,10.11
cube_Sale_APD.manufacturing_type,Tendering,MTO,100.0,100.0,4,4,0.0
cube_Sale_APD.manufacturing_type,Total Customer Solution,MTS,0.0,100.0,0,1,100.0
cube_Sale_APD.typeOfSale,ALL,Sale,100.0,100.0,196,159,0.0
cube_Sale_APD.typeOfSale,Omni Channel,Sale,100.0,100.0,192,154,0.0
cube_Sale_APD.typeOfSale,Tendering,Sale,100.0,100.0,4,4,0.0
cube_Sale_APD.typeOfSale,Total Customer Solution,Sale,0.0,100.0,0,1,100.0
cube_Sale_APD.jobcode_prefix,ALL,CT,52.04,48.43,196,159,3.61
cube_Sale_APD.jobcode_prefix,ALL,RS,1.02,4.4,196,159,3.38
cube_Sale_APD.jobcode_prefix,ALL,,1.02,0.0,196,159,1.02
cube_Sale_APD.jobcode_prefix,ALL,VT,41.33,42.14,196,159,0.81
cube_Sale_APD.jobcode_prefix,ALL,J,0.51,1.26,196,159,0.75
cube_Sale_APD.jobcode_prefix,ALL,CTR,3.06,2.52,196,159,0.55
cube_Sale_APD.jobcode_prefix,ALL,SS,1.02,1.26,196,159,0.24
cube_Sale_APD.jobcode_prefix,Omni Channel,RS,0.52,3.9,192,154,3.38
cube_Sale_APD.jobcode_prefix,Omni Channel,CT,52.6,49.35,192,154,3.25
