itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT230231,Contractor,MTS,P15311,Sale,2024-01-19,2024-01-03,2024-01-03,20249.17,1.0
CT-F-99-020505,PEM102-OLD,Omni Channel,Actual,CT230368,Contractor,MTS,P1747,Sale,2024-01-19,2024-01-03,2024-01-03,20554.65,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT230231,Contractor,MTS,P15311,Sale,2024-01-15,2024-01-03,2024-01-03,20249.17,1.0
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT230386,Contractor,MTS,P1749,Sale,2024-01-15,2024-01-03,2024-01-03,21757.5,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT230231,Contractor,MTS,P15311,Sale,2024-01-17,2024-01-04,2024-01-04,20249.17,1.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT230385,Contractor,MTS,P1748,Sale,2024-01-17,2024-01-04,2024-01-04,21344.01,3.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240001,Local Industry,MTO,P13054,Sale,2024-04-19,2024-01-04,2024-01-04,3067018.0,100.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240002,Local Industry,MTO,P13054,Sale,2024-05-30,2024-01-04,2024-01-04,3067018.0,100.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240003,Local Industry,MTO,P13054,Sale,2024-06-14,2024-01-04,2024-01-04,3067018.0,100.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240004,Local Industry,MTO,P13054,Sale,2024-06-17,2024-01-04,2024-01-04,3067018.0,100.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240005,Local Industry,MTO,P13054,Sale,2024-06-28,2024-01-04,2024-01-04,3067018.0,100.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240006,Local Industry,MTO,P13054,Sale,2024-10-31,2024-01-04,2024-01-04,1625616.0,53.0
VT-F-99-010820,PEM102-OLD,Omni Channel,Actual,VT240007,Local Industry,MTO,P15684,Sale,2024-04-19,2024-01-04,2024-01-04,3749108.0,100.0
VT-F-99-010820,PEM102-OLD,Omni Channel,Actual,VT240008,Local Industry,MTO,P15684,Sale,2024-05-30,2024-01-04,2024-01-04,1424661.04,38.0
VT-F-99-010205,PEM102-OLD,Omni Channel,Actual,VT230237,Inside Group,MTS,P1016,Sale,2024-02-29,2024-01-04,2024-01-04,29544.27,3.0
CT-F-99-020502,PEM102-OLD,Omni Channel,Actual,CT230389,Inside Group,MTS,P1744,Sale,2024-02-29,2024-01-04,2024-01-04,148562.0,20.0
CT-F-99-020503,PEM102-OLD,Omni Channel,Actual,CT230390,Inside Group,MTS,P1745,Sale,2024-02-29,2024-01-04,2024-01-04,76325.8,10.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT230392,Inside Group,MTS,P1746,Sale,2024-02-15,2024-01-04,2024-01-04,42075.24,6.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT230393,Inside Group,MTS,P1748,Sale,2024-02-29,2024-01-04,2024-01-04,42688.02,6.0
