itemcode,division_before_2026_05,division_2026_05_onward
CT-F-99-020501,102|103,107
CT-F-99-020502,102|103,107
CT-F-99-020503,102|103,107
CT-F-99-020504,102|103,107
CT-F-99-020505,102|103,103|107
CT-F-99-020506,102|103,103|107
CT-F-99-020507,102|103,107
CT-F-99-020508,102|103,103|107
CT-F-99-020510,102|103,107
CT-F-99-020511,102|103,107
CT-F-99-020512,103,107
CT-F-99-020513,102|103,107
CT-F-99-020514,103,107
CT-F-99-020522,102|103,107
CT-F-99-020524,102|103,107
CT-F-99-020525,102|103,107
CT-F-99-020526,102|103,107
CT-F-99-020527,102|103|106,107
CT-F-99-020528,102|103,103|107
CT-F-99-020530,102|103,107
CT-F-99-020531,102|103,107
CT-F-99-020532,103,107
CT-F-99-020701,102|103,107
CT-F-99-020702,102|103,107
CT-F-99-020703,102|103,107
CT-F-99-020704,102|103,107
CT-F-99-020705,102|103,107
CT-F-99-020706,102|103,107
CT-F-99-020707,102|103,107
CT-F-99-020709,103,107
CT-F-99-020717,102|103,107
CT-F-99-020726,102|103,107
CT-F-99-020728,102|103,107
RS-F-99-010122,102|103,107
RS-F-99-010123,102|103,107
RS-F-99-010124,102|103,107
RS-F-99-010127,102|103,107
RS-F-99-010128,102|103,107
RS-F-99-041001,102|103,107
RS-F-99-041002,102|103,107
RS-F-99-041006,102|103,107
RS-F-99-041007,102|103,107
RS-F-99-041008,102|103,107
RS-F-99-041033,102|103,107
RS-F-99-041034,102|103,107
RS-F-99-041035,103,107
RS-F-99-070002,102|103,107
RS-F-99-070003,102|103,107
RS-F-99-070004,102|103,107
RS-F-99-070005,102|103,107
RS-F-99-070006,102|103,107
RS-F-99-070007,102|103,107
RS-F-99-090003,103,107
RS-F-99-090026,102|103,107
RS-F-99-100001,102|103,107
RS-F-99-120006,103,107
RS-F-99-130011,102,107
VT-F-99-010202,102|103,107
VT-F-99-010203,102|103,107
VT-F-99-010205,102|103,107
VT-F-99-010302,102|103,107
VT-F-99-010303,102|103,107
VT-F-99-010306,102|103,107
VT-F-99-010616,103,107
VT-F-99-010701,102|103,107
VT-F-99-010715,102|103,107
VT-F-99-010721,102|103,103|107
VT-F-99-010722,102|103,103|107
VT-F-99-010818,103,107
VT-F-99-010819,102|103,107
VT-F-99-010820,102|103,107
