COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
id,int,1
Company,varchar,2
ManuDivision,varchar,3
SaleDivision,varchar,4
ContractID,varchar,5
CtrDate,date,6
ReceiveCtrDate,date,7
CustomerID,varchar,8
CustomerName,varchar,9
RevenueType,varchar,10
CtrName,varchar,11
JobName,varchar,12
PrdCateID,varchar,13
ProductCate,varchar,14
PrdTypeID,varchar,15
ProductType,varchar,16
ItemCode,varchar,17
ProductID,varchar,18
Product,varchar,19
OLMJobCode,varchar,20
ForecastDelDate,date,21
PlanDelDate,date,22
ActualDelDate,date,23
PlanID,bigint,24
PlanQty,decimal,25
ContractPrice,decimal,26
Cost,decimal,27
GP,decimal,28
ActualQty,decimal,29
ActualPrice,decimal,30
ActualCost,decimal,31
ActualGP,decimal,32
BacklogQty,decimal,33
BacklogPrice,decimal,34
BacklogGP,decimal,35
HandledBy,varchar,36
OLMRevStream,varchar,37
Status,varchar,38
OLMTradeBusinessProcess,varchar,39
OLMBusinessProcess,varchar,40
Timestamp,datetime,41
