COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
id,decimal,1
cmp,varchar,2
productID,varchar,3
productTypeName,varchar,4
productName,varchar,5
qty,decimal,6
sale,decimal,7
saleGM,decimal,8
cost,decimal,9
atid,int,10
cusname,varchar,11
sub_district,varchar,12
district,varchar,13
province,varchar,14
country,varchar,15
division,varchar,16
forecast_date,date,17
contractid,varchar,18
itemcode,varchar,19
customer_segment,varchar,20
handle_by,varchar,21
customer_entry,date,22
createDate,date,23
week,int,24
month,int,25
year,int,26
timeStamp,datetime,27
customerid,varchar,28
trade_businessprocess,varchar,29
olm_businessprocess,varchar,30
deffer,varchar,31
quotationid,varchar,32
jobcode,varchar,33
sale_company,varchar,34
sale_division,varchar,35
revenue,varchar,36
planid,decimal,37
ctr_name,varchar,38
warranty,int,39
warranty_date,date,40
warranty_amount,bigint,41
manufacturing_type,varchar,42
revenue_type,varchar,43
newCustomerDate,date,44
PODate,date,45
plan_date,date,46
typeOfSale,varchar,47
tradeGrossMarginPercent,decimal,48
baseOn,varchar,49
handledPerSharePercent,decimal,50
handledPerShareTHB,decimal,51
partnerPerSharePercent,decimal,52
partnerPerShareTHB,decimal,53
ContractPO_NO,varchar,54
ansoff_matrix,varchar,55
status,varchar,56
ProductTypeID,varchar,57
ProductCateID,varchar,58
handle_name,varchar,59
productCateName,varchar,60
end_customerid,varchar,61
end_cusname,varchar,62
