COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
id,int,1
no,varchar,2
finalid,varchar,3
company,varchar,4
division,varchar,5
final_date,datetime,6
finalcheck_date,datetime,7
finalreceive_date,datetime,8
jobno,varchar,9
ctrno,varchar,10
project,varchar,11
customer_name,varchar,12
pono,varchar,13
itemcode,varchar,14
descriptions,varchar,15
cus_serialno,varchar,16
job_qty,int,17
transfer_history,int,18
transfer_qty,int,19
transfer_type,varchar,20
ncrno,varchar,21
qacheck_date,datetime,22
fg_check_by,varchar,23
fg_check_name,varchar,24
fg_check_date,datetime,25
fg_check_status,varchar,26
fg_pack_name,varchar,27
fg_pack_date,datetime,28
fg_final_by,varchar,29
fg_final_name,varchar,30
fg_final_date,datetime,31
fg_final_status,varchar,32
note,varchar,33
timsstamp,datetime,34
serial_no,varchar,35
