itemcode,trans_date,transtype,orders,warehouse,QtyIn,QtyOut,uom,location
VT-F-99-010202,2021-12-14,N,,FG01,,,SET     ,BUILDING6
VT-F-99-010202,2021-12-14,N,,FG  ,,,SET     ,BUILDING6
VT-F-99-010203,2021-12-14,N,,FG  ,,,SET     ,FG-อาคาร7
VT-F-99-010203,2021-12-14,N,,FG02,,,SET     ,FG-อาคาร7
VT-F-99-010203,2021-12-14,N,,FG01,,,SET     ,FG-อาคาร7
VT-F-99-010701,2021-12-14,N,,FG  ,,,SET     ,BUILDING6
VT-F-99-010701,2021-12-14,N,,FG01,,,SET     ,BUILDING6
VT-F-99-010715,2021-12-14,N,,FG  ,,,SET     ,
VT-F-99-010715,2021-12-14,N,,FG01,,,SET     ,
VT-F-99-010721,2021-12-14,N,,FG  ,,,SET     ,FG-เต็นท์102(6)
VT-F-99-010721,2021-12-14,N,,FG01,,,SET     ,FG-เต็นท์102(6)
VT-F-99-010722,2021-12-14,N,,FG  ,,,SET     ,BUILDING6
VT-F-99-010722,2021-12-14,N,,FG01,,,SET     ,BUILDING6
CT-F-99-020506,2021-12-14,N,,FG01,,,SET     ,FG-เต็นท์102
CT-F-99-020507,2021-12-14,N,,FG  ,,,SET     ,FG-อาคาร7
CT-F-99-020507,2021-12-14,N,,FG01,,,SET     ,FG-อาคาร7
CT-F-99-020508,2021-12-14,N,,FG  ,,,SET     ,FG-อาคาร7
CT-F-99-020508,2021-12-14,N,,FG01,,,SET     ,FG-อาคาร7
CT-F-99-020509,2021-12-14,N,,FG  ,,,SET     ,
CT-F-99-020509,2021-12-14,N,,FG01,,,SET     ,
CT-F-99-020510,2021-12-14,N,,FG  ,,,SET     ,
CT-F-99-020510,2021-12-14,N,,FG01,,,SET     ,
CT-F-99-020511,2021-12-14,N,,FG  ,,,SET     ,FG-อาคาร7
CT-F-99-020512,2021-12-14,N,,FG  ,,,SET     ,
CT-F-99-020523,2021-12-14,N,,FG  ,,,SET     ,7B
CT-F-99-020523,2021-12-14,N,,FG01,,,SET     ,7B
CT-F-99-020524,2021-12-14,N,,FG  ,,,PC      ,FG-เต็นท์102(6)
CT-F-99-020524,2021-12-14,N,,FG01,,,PC      ,FG-เต็นท์102(6)
CT-F-99-020525,2021-12-14,N,,FG  ,,,SET     ,FG-อาคาร7
CT-F-99-020525,2021-12-14,N,,FG01,,,SET     ,FG-อาคาร7
CT-F-99-020526,2021-12-14,N,,FG  ,,,SET     ,
CT-F-99-020526,2021-12-14,N,,FG01,,,SET     ,
CT-F-99-020527,2021-12-14,N,,FG01,,,SET     ,7B
CT-F-99-020527,2021-12-14,N,,FG02,,,SET     ,7B
CT-F-99-020527,2021-12-14,N,,FG  ,,,SET     ,7B
CT-F-99-020528,2021-12-14,N,,FG02,,,SET     ,FG-เต็นท์102(8)
CT-F-99-020528,2021-12-14,N,,FG  ,,,SET     ,FG-เต็นท์102(8)
CT-F-99-020528,2021-12-14,N,,FG01,,,SET     ,FG-เต็นท์102(8)
CT-F-99-020530,2021-12-14,N,,FG  ,,,SET     ,
CT-F-99-020530,2021-12-14,N,,FG01,,,SET     ,
CT-F-99-020531,2021-12-14,N,,FG  ,,,SET     ,
CT-F-99-020531,2021-12-14,N,,FG01,,,SET     ,
RS-F-99-070002,2021-12-14,N,,FG  ,,,SET     ,FG-อาคาร7ชั้น1
RS-F-99-070002,2021-12-14,N,,FG01,,,SET     ,FG-อาคาร7ชั้น1
RS-F-99-070003,2021-12-14,N,,FG  ,,,SET     ,FG-อาคาร7
RS-F-99-070005,2021-12-14,N,,FG  ,,,SET     ,INCOMING
RS-F-99-070005,2021-12-14,N,,FG01,,,SET     ,INCOMING
