month,n_rows,qty_total,qty_not_late,not_late_unit_weighted_pct
2019-01,2.0,9.0,9.0,100.0
2020-12,2.0,4.0,4.0,100.0
2021-05,2.0,4.0,4.0,100.0
2021-08,2.0,4.0,4.0,100.0
2021-09,1.0,2.0,2.0,100.0
2021-10,2.0,4.0,4.0,100.0
2021-12,3.0,7.0,7.0,100.0
2022-02,1.0,3.0,3.0,100.0
2022-05,2.0,20.0,20.0,100.0
2022-06,6.0,12.0,12.0,100.0
2022-08,2.0,4.0,4.0,100.0
2022-09,2.0,170.0,0.0,0.0
2022-10,8.0,115.0,104.0,90.43
2022-11,13.0,227.0,227.0,100.0
2022-12,9.0,639.0,349.0,54.62
2023-01,208.0,1628.0,1404.0,86.24
2023-02,389.0,4428.0,3979.0,89.86
2023-03,291.0,3616.0,2514.0,69.52
2023-04,155.0,1960.0,1907.0,97.3
2023-05,183.0,2111.0,2057.0,97.44
2023-06,173.0,1269.0,1140.0,89.83
2023-07,218.0,2635.0,2601.0,98.71
2023-08,206.0,2216.0,2164.0,97.65
2023-09,207.0,1205.0,1137.0,94.36
2023-10,275.0,2737.0,2675.0,97.73
2023-11,269.0,2278.0,2137.0,93.81
2023-12,259.0,5691.0,5562.0,97.73
2024-01,92.0,548.0,548.0,100.0
2024-02,194.0,4880.0,3019.0,61.86
2024-03,185.0,3397.0,2220.0,65.35
2024-04,150.0,618.0,546.0,88.35
2024-05,150.0,1015.0,981.0,96.65
2024-06,152.0,1116.0,1060.0,94.98
2024-07,118.0,759.0,705.0,92.89
2024-08,145.0,1947.0,1911.0,98.15
2024-09,184.0,3306.0,3175.0,96.04
2024-10,255.0,3097.0,3003.0,96.96
2024-11,222.0,954.0,873.0,91.51
2024-12,209.0,519.0,433.0,83.43
2025-01,150.0,1617.0,1528.0,94.5
2025-02,147.0,475.0,426.0,89.68
2025-03,178.0,3332.0,3264.0,97.96
2025-04,164.0,847.0,781.0,92.21
2025-05,153.0,548.0,512.0,93.43
2025-06,146.0,1547.0,1471.0,95.09
2025-07,154.0,534.0,457.0,85.58
2025-08,198.0,1204.0,1167.0,96.93
2025-09,161.0,1488.0,1308.0,87.9
2025-10,182.0,1164.0,1103.0,94.76
2025-11,217.0,1482.0,1334.0,90.01
2025-12,248.0,2106.0,1519.0,72.13
2026-01,118.0,403.0,348.0,86.35
2026-02,121.0,978.0,938.0,95.91
2026-03,178.0,1171.0,1126.0,96.16
2026-04,193.0,443.0,401.0,90.52
2026-05,119.0,306.0,258.0,84.31
2026-06,154.0,589.0,271.0,46.01
2026-07,161.0,622.0,335.0,53.86
2026-08,199.0,500.0,412.0,82.4
2026-09,112.0,646.0,243.0,37.62
2026-12,6.0,12.0,12.0,100.0
