month,dominant_division,n,n_total,share_pct
2025-01,102,178,178,100.0
2025-02,102,164,164,100.0
2025-03,102,214,215,99.53
2025-04,102,177,177,100.0
2025-05,102,123,168,73.21
2025-06,103,175,175,100.0
2025-07,103,187,187,100.0
2025-08,103,220,220,100.0
2025-09,103,205,205,100.0
2025-10,103,197,197,100.0
2025-11,103,267,267,100.0
2025-12,103,220,220,100.0
2026-01,103,154,154,100.0
2026-02,103,148,148,100.0
2026-03,103,194,194,100.0
2026-04,103,187,187,100.0
2026-05,107,145,152,95.39
2026-06,107,149,150,99.33
2026-07,107,173,173,100.0
2026-08,107,233,233,100.0
2026-09,107,117,117,100.0
