ItemCode,Status,CtrDate,PlanDelDate,ForecastDelDate,ActualDelDate,ActualQty,RevenueType,OLMJobCode
CT-F-99-020511,Actual,2012-01-05,2012-01-23,2012-01-23,2012-02-02,10.0,,CT12/002
CT-F-99-020511,Actual,2012-01-25,2012-01-25,2012-01-25,2012-02-01,4.0,,CT12/004
VT-F-99-010701,Actual,2012-01-13,2011-12-27,2011-12-27,2012-01-26,5.0,,VT12/002
VT-F-99-010701,Actual,2012-01-17,2012-01-23,2012-01-23,2012-01-27,1.0,,VT12/003
VT-F-99-010701,Actual,2012-01-05,2012-01-31,2012-01-31,2012-01-30,1.0,,VT12/005
VT-F-99-010701,Actual,2012-01-05,2012-01-20,2012-01-20,2012-01-26,1.0,,VT12/006
VT-F-99-010701,Actual,2012-01-09,2012-01-09,2012-01-09,2012-01-26,1.0,,VT12/008
VT-F-99-010701,Actual,2012-01-09,2012-01-31,2012-01-31,2012-02-10,6.0,,VT12/009
RS-F-99-070003,Actual,2012-01-30,2012-01-30,2012-01-30,2012-01-20,3.0,,RS12/015
RS-F-99-070002,Actual,2012-12-16,2012-01-16,2012-01-16,2012-01-13,500.0,,RS11/286
RS-F-99-070002,Actual,2012-01-31,2012-01-31,2012-01-31,2012-01-19,500.0,,RS12/013
RS-F-99-070004,Actual,2012-01-31,2012-01-31,2012-01-31,2012-01-26,500.0,,RS12/018
RS-F-99-070005,Actual,2012-01-31,2012-01-31,2012-01-31,2012-01-23,500.0,,RS12/019
RS-F-99-070002,Actual,2012-01-31,2012-01-31,2012-01-31,2012-05-02,500.0,,RS12/017
RS-F-99-070004,Actual,2012-01-30,2012-01-24,2012-01-24,2012-01-24,3.0,,RS12/016
RS-F-99-070004,Actual,2012-02-14,2012-02-14,2012-02-14,2012-02-29,250.0,,RS12/034
RS-F-99-070005,Actual,2012-02-14,2012-02-14,2012-02-14,2012-02-07,500.0,,RS12/035
RS-F-99-070002,Actual,2012-02-14,2012-02-14,2012-02-14,2012-03-21,250.0,,RS12/033
CT-F-99-020506,Actual,2012-01-20,2012-02-03,2012-02-03,2012-02-01,2.0,,CT12/011
RS-F-99-070002,Actual,2012-02-15,2012-02-23,2012-02-23,2012-03-05,18.0,,RS12/043
RS-F-99-070003,Actual,2012-02-15,2012-02-23,2012-02-23,2012-02-20,9.0,,RS12/044
CT-F-99-020505,Actual,2012-01-16,2012-01-31,2012-01-31,2012-02-21,2.0,,CT12/005
CT-F-99-020505,Actual,2012-01-16,2012-02-22,2012-02-22,2012-03-05,2.0,,CT12/005
CT-F-99-020506,Actual,2012-01-16,2012-02-03,2012-02-03,2012-02-03,2.0,,CT12/006
